cgpa,backlogs,coding_score,aptitude_score,communication_score,projects,internships,certifications,github_contributions,leetcode_solved,hackathon,soft_skills,placement_status,placement_month
8.48,2,72,76,82,2,0,5,194,121,0,100,1,5
8.68,0,49,60,58,6,0,1,224,84,0,66,1,12
7.98,0,63,40,89,4,0,8,106,112,0,65,1,6
9.11,1,43,67,51,8,0,3,98,73,0,41,1,10
8.39,0,47,71,67,2,0,2,364,5,1,74,1,2
6.49,0,34,12,81,2,2,1,250,170,0,85,0,11
9.82,0,95,60,49,2,1,2,335,45,0,46,0,7
5.31,3,64,65,51,2,0,5,230,139,0,75,0,11
6.83,0,65,56,24,3,0,0,449,0,1,83,1,5
6.48,0,52,51,65,4,1,1,13,44,0,56,0,7
7.36,0,76,66,49,0,1,7,34,180,0,100,1,7
4.96,0,85,52,71,7,0,1,46,49,3,50,1,8
7.84,3,62,65,58,2,1,4,22,20,0,44,0,7
8.59,0,51,41,62,5,2,4,132,17,0,47,0,7
4.98,1,54,45,77,7,0,2,227,105,0,66,1,11
7.29,0,85,76,98,4,0,5,39,32,0,79,0,10
8.92,0,41,67,66,1,2,3,408,35,0,73,1,7
8.59,5,61,48,59,2,0,5,119,165,1,83,1,7
5.72,5,54,24,71,6,1,7,38,36,1,93,0,8
8.16,0,100,51,50,2,1,4,431,81,0,70,0,10
4.97,1,54,66,67,0,0,4,164,253,0,32,1,12
8.87,1,60,65,62,8,2,2,271,51,1,33,1,12
10.0,1,36,55,38,7,2,2,230,32,0,52,1,8
7.89,0,76,62,40,2,0,0,425,61,0,93,1,3
7.46,1,56,84,53,3,0,8,108,195,0,51,0,10
7.99,3,43,66,88,7,0,1,83,22,3,86,1,9
6.96,3,53,78,85,12,0,3,209,95,0,69,0,10
8.09,2,73,83,58,3,0,3,154,158,4,59,1,7
6.43,1,61,91,59,3,1,5,387,105,1,67,1,3
9.58,1,54,34,71,4,0,1,94,116,0,82,1,7
7.23,5,87,94,60,8,0,0,56,22,1,33,1,4
9.92,0,75,76,48,3,0,1,191,133,0,40,1,2
9.91,1,57,61,74,8,0,3,29,110,0,58,1,3
5.66,3,62,57,57,4,1,8,282,46,2,68,1,10
6.65,1,72,37,62,5,0,0,364,9,1,65,1,12
9.74,0,41,60,76,11,0,4,140,61,3,63,1,9
5.21,3,69,81,42,7,1,4,219,18,4,61,0,12
6.48,1,59,68,49,0,0,7,306,19,2,65,1,9
6.68,0,78,79,73,6,1,6,184,42,0,57,1,7
8.1,0,52,79,62,4,0,0,109,10,0,34,0,8
5.91,3,55,54,25,5,0,0,40,11,0,53,1,11
5.31,0,55,80,43,8,0,1,92,12,0,64,1,2
8.52,0,63,73,67,8,0,0,235,112,1,51,1,6
8.8,4,74,63,38,7,1,2,460,40,0,44,0,8
6.16,0,59,70,61,6,1,5,108,11,0,61,1,11
9.36,5,65,86,11,1,1,1,177,78,0,58,0,7
7.29,0,55,40,42,4,1,0,67,33,0,90,0,8
5.03,4,63,85,60,10,1,6,167,74,1,60,1,3
5.84,0,52,69,61,6,0,3,11,99,4,51,0,9
6.65,1,52,56,54,6,1,8,355,93,0,62,0,10
5.99,0,45,62,44,0,1,6,288,24,0,60,0,7
5.95,4,47,71,60,1,0,0,199,68,1,55,0,6
7.11,3,62,76,59,7,1,2,261,24,0,43,0,7
7.95,1,80,52,68,11,0,0,54,174,2,85,1,12
5.48,2,80,100,94,0,1,5,39,139,1,68,0,11
7.45,0,64,86,61,6,0,2,32,76,0,52,0,10
7.21,3,62,53,43,4,0,2,295,141,0,91,1,10
5.99,0,54,33,87,2,0,0,46,123,0,58,1,12
9.52,0,62,76,69,6,1,1,147,8,0,86,1,6
4.95,0,68,63,73,5,1,7,128,145,1,100,0,12
5.87,0,69,69,33,5,0,3,168,131,1,60,0,6
5.94,2,24,72,70,1,1,3,106,42,1,66,1,5
5.35,2,83,62,47,1,0,3,136,17,0,78,0,10
8.54,3,45,73,56,4,1,0,235,61,0,88,1,10
7.39,0,58,73,62,7,1,4,69,99,1,91,0,8
9.61,0,58,93,50,1,1,3,41,237,0,77,1,2
5.27,3,60,68,64,6,0,6,98,71,3,58,1,1
6.82,0,35,75,58,1,0,5,47,142,5,85,0,11
6.04,2,68,81,64,3,0,0,44,11,1,88,0,6
8.6,0,79,49,56,5,0,6,10,20,0,47,1,2
9.86,2,32,44,59,3,1,6,37,111,0,74,0,7
7.04,0,69,61,65,0,0,1,219,44,0,65,1,8
9.12,1,67,76,43,1,1,4,209,97,1,29,1,5
5.26,0,68,57,70,2,2,7,4,30,0,86,0,11
5.2,0,57,74,66,4,1,3,144,111,0,42,0,12
6.25,4,65,55,70,2,0,0,198,62,0,61,0,10
6.35,0,70,32,54,6,0,2,14,66,0,52,0,11
7.18,2,61,6,74,7,3,7,298,125,0,79,1,12
6.81,0,73,81,77,2,0,3,93,69,0,59,0,6
8.18,1,10,73,70,5,0,2,90,108,0,80,0,6
6.7,1,55,88,49,5,1,0,118,37,0,56,0,6
7.8,0,52,60,51,5,0,0,180,26,1,50,1,4
9.67,0,78,77,75,5,2,1,195,113,5,60,1,6
4.75,2,25,94,54,5,1,5,117,103,0,61,0,9
6.81,1,78,67,87,5,1,2,116,80,0,78,1,11
9.23,0,69,73,75,3,0,6,177,146,3,80,1,11
5.92,3,57,62,83,6,0,4,124,52,1,83,1,11
6.76,0,63,39,43,0,0,5,105,15,2,81,1,3
9.8,0,80,57,51,2,0,2,153,90,0,36,1,6
6.35,0,77,68,92,2,0,4,116,11,0,83,0,7
7.68,0,44,64,32,1,0,1,118,167,0,58,1,9
7.65,1,80,39,83,2,1,10,64,68,0,74,1,7
6.52,1,64,67,41,11,2,1,246,37,1,47,1,1
6.6,3,89,45,52,6,0,5,173,25,1,76,1,8
4.64,4,51,19,67,7,0,0,380,199,1,74,1,12
9.36,2,40,63,70,6,0,0,377,12,0,68,1,11
6.4,0,56,33,70,3,1,7,242,211,0,77,1,12
8.4,1,75,68,51,3,0,2,116,110,0,69,1,2
5.52,4,93,70,67,4,1,3,51,48,0,41,1,12
7.95,0,62,41,39,5,2,3,0,82,1,49,0,7
9.05,0,59,83,51,3,1,5,174,274,3,45,1,11
6.83,2,61,79,74,2,1,0,111,51,0,71,1,4
7.83,2,78,42,74,7,0,5,100,5,0,81,0,9
9.12,0,64,45,88,0,1,3,476,81,0,40,1,5
6.12,0,83,90,84,8,1,1,78,67,0,78,1,7
8.87,0,42,47,63,3,3,5,416,83,0,72,1,3
5.45,0,51,95,57,1,3,8,380,104,1,83,1,6
5.65,0,58,38,41,0,0,3,273,120,0,78,1,4
7.69,0,32,37,60,5,0,4,113,1,0,43,0,8
7.25,0,56,71,98,0,3,0,17,148,0,80,1,8
5.06,1,52,30,91,8,0,3,85,105,0,41,1,12
9.64,0,58,72,86,0,1,3,170,179,0,62,1,3
8.2,1,57,39,71,2,0,1,313,79,0,55,1,9
6.47,2,35,40,79,8,2,5,59,130,3,77,1,12
8.0,0,50,69,53,3,0,9,235,82,0,81,1,5
7.55,1,89,86,60,0,0,4,85,20,2,53,0,8
8.57,0,54,26,91,3,1,2,281,106,0,60,1,9
5.75,2,68,53,25,3,0,1,121,45,1,68,1,11
7.86,2,81,0,67,6,1,7,138,84,2,75,1,6
9.77,0,67,100,68,2,0,3,10,29,0,66,1,5
5.16,0,33,69,75,8,1,3,542,73,0,52,1,11
8.75,1,80,85,67,0,1,2,319,20,0,60,0,10
6.01,0,62,69,59,7,1,3,153,57,0,61,1,3
5.89,0,75,49,75,7,1,0,395,91,0,100,0,10
7.95,1,61,57,47,3,0,1,106,76,1,52,1,12
8.59,0,68,56,78,1,1,7,110,247,0,100,1,9
9.87,1,49,71,43,2,1,0,82,117,5,94,1,2
7.97,0,44,90,73,0,0,7,67,20,0,50,0,12
8.9,0,72,69,80,3,3,3,85,28,0,86,0,12
7.0,5,46,47,62,6,0,7,46,90,3,64,0,7
7.55,0,87,60,41,7,1,10,227,15,0,39,1,12
9.94,5,75,66,71,3,0,5,325,12,1,67,1,2
8.81,4,69,100,62,4,0,0,64,49,0,85,1,11
8.74,1,26,49,63,0,0,0,85,136,3,42,1,9
6.13,0,85,71,45,5,1,5,84,314,0,90,0,9
8.15,0,66,68,48,2,0,7,278,4,1,80,0,8
7.53,4,46,77,75,10,1,0,87,128,3,72,0,8
9.93,1,59,100,61,4,2,6,104,59,0,57,1,4
5.02,1,72,96,65,4,1,0,61,103,0,72,0,12
6.45,5,36,57,67,9,0,8,236,56,1,69,0,11
6.65,0,63,80,68,2,0,2,308,5,1,91,1,6
5.53,2,66,61,94,0,0,2,135,112,4,63,0,7
9.32,0,89,69,39,3,0,1,172,69,4,49,1,8
5.85,0,94,56,73,5,1,0,248,45,0,87,0,7
9.58,1,69,21,74,4,0,6,19,10,0,58,1,3
8.57,0,74,43,60,5,0,4,141,104,5,58,1,5
6.59,3,58,68,83,2,0,7,228,134,2,95,1,7
6.32,4,65,78,66,5,0,4,183,23,0,70,1,2
8.54,3,52,66,60,4,2,7,65,107,0,34,1,3
7.17,0,70,93,81,6,0,7,133,86,1,64,0,7
8.39,1,46,68,71,6,0,0,70,160,0,66,1,1
9.22,1,55,51,58,3,3,9,262,96,0,59,1,3
9.76,1,68,45,35,5,0,1,350,43,1,75,1,7
9.24,0,50,47,58,3,0,7,146,127,1,75,1,3
6.13,4,70,83,92,5,1,0,38,105,0,56,1,11
5.88,3,64,56,57,3,0,6,189,45,0,74,1,9
8.27,1,72,69,59,4,0,7,157,74,5,45,1,4
9.39,2,80,50,20,7,0,3,157,60,0,61,1,1
6.92,1,71,5,76,4,1,1,257,41,0,47,1,9
6.9,3,36,55,56,5,0,4,79,57,0,73,0,10
5.12,0,69,38,73,2,1,0,239,40,0,27,1,3
8.06,5,78,71,72,9,1,6,284,7,0,61,0,9
5.31,3,88,20,48,2,0,0,347,95,0,99,1,2
8.41,2,68,69,44,7,1,0,260,133,0,40,1,2
6.38,0,67,52,78,2,0,1,42,188,0,51,0,6
4.98,1,33,100,72,4,0,2,47,218,0,65,1,7
6.14,0,64,80,44,2,0,2,387,63,0,66,1,5
7.47,5,57,45,98,2,1,1,58,133,0,67,1,1
4.87,0,79,68,98,1,1,8,114,22,0,72,1,6
7.57,0,53,62,45,3,1,6,202,127,1,77,1,2
9.0,0,100,88,72,2,0,5,299,59,2,73,1,8
4.63,1,50,43,100,2,3,1,231,40,0,87,1,9
8.25,2,59,76,77,3,0,3,9,4,0,57,1,8
9.12,5,39,36,37,7,0,3,97,226,0,59,1,7
9.03,1,84,49,84,1,3,1,262,143,0,62,0,10
7.47,1,59,37,85,2,0,3,167,17,0,70,1,7
4.96,0,63,59,65,1,0,1,49,86,1,18,1,8
4.82,2,55,35,89,10,1,5,291,5,1,49,1,4
9.85,0,54,56,84,2,0,2,203,67,0,42,1,10
9.24,0,68,45,81,1,0,10,218,129,0,73,1,10
8.06,0,61,37,44,0,1,4,5,96,0,37,0,10
9.51,2,64,52,43,4,0,3,162,193,0,100,1,12
8.78,0,79,76,67,3,0,4,68,184,0,87,0,9
7.29,0,68,69,46,3,0,0,147,96,3,49,1,9
6.15,5,55,63,88,4,1,9,59,51,0,55,1,1
9.02,3,93,61,71,2,0,1,262,41,0,35,0,7
4.94,0,97,34,60,4,1,4,170,260,0,54,1,10
5.43,0,69,57,94,2,0,5,89,18,1,36,1,3
9.25,0,73,38,46,7,0,2,31,11,2,83,1,9
9.0,0,77,28,61,6,1,0,56,169,2,82,1,8
5.49,0,46,66,56,6,0,3,11,146,0,100,0,10
8.04,0,49,59,40,0,1,3,113,197,0,80,1,2
8.29,3,42,30,52,10,0,3,147,162,0,68,0,8
7.96,2,66,70,94,5,0,0,17,54,4,51,0,11
6.77,2,85,63,56,3,0,1,175,210,0,40,0,6
7.54,2,86,40,52,7,3,5,155,158,0,73,1,3
6.27,1,40,30,82,1,0,2,244,237,1,59,1,7
6.89,0,44,54,61,2,0,2,61,84,0,43,0,11
6.49,0,74,42,34,0,1,1,51,262,1,37,1,11
6.28,0,67,58,27,9,0,0,205,106,0,69,1,9
4.74,1,49,52,31,7,0,1,44,136,1,89,0,10
8.65,0,47,68,65,4,0,6,19,140,0,100,1,6
5.32,0,80,60,53,3,2,2,38,134,0,53,0,7
5.58,0,41,32,43,10,0,1,153,32,2,52,1,10
5.29,0,95,66,55,4,1,1,19,15,5,61,0,7
4.85,4,69,23,66,0,1,0,140,8,0,64,1,3
9.94,0,59,67,78,4,0,1,30,29,0,55,1,2
6.92,2,70,60,42,4,0,2,53,75,0,68,1,2
5.88,0,59,65,42,0,0,2,426,27,1,55,1,5
7.77,1,43,74,48,5,0,0,110,60,0,79,0,12
8.27,0,33,58,32,4,0,6,97,35,1,97,1,5
7.79,1,65,69,75,5,0,8,307,117,2,59,0,9
8.62,5,100,33,47,2,1,0,319,146,0,56,0,6
8.97,3,67,31,73,5,1,6,101,94,3,42,1,7
7.41,0,60,78,74,4,1,7,138,127,0,100,1,1
4.84,5,90,84,52,6,0,3,532,148,3,71,1,7
9.55,0,44,55,57,4,0,1,121,83,1,73,1,9
9.82,0,82,73,43,7,0,4,323,121,1,90,1,1
8.9,3,46,66,57,4,0,4,210,87,0,69,1,10
6.51,3,96,85,49,10,3,0,231,21,0,45,1,4
7.42,0,67,65,71,2,1,0,172,105,1,53,1,6
7.68,5,83,28,65,5,3,8,38,111,0,82,1,7
6.72,4,57,80,87,7,1,2,98,58,0,48,1,7
6.85,1,79,69,61,1,0,3,22,114,0,96,0,12
5.57,2,52,53,50,3,3,7,114,57,0,57,1,1
9.87,0,81,62,40,3,1,6,100,135,0,88,0,7
9.94,0,56,66,47,6,2,5,239,114,0,74,1,7
7.59,1,73,64,12,2,0,4,421,91,0,26,1,1
5.59,2,84,73,35,3,0,9,40,131,0,52,1,7
5.77,0,84,53,78,5,0,3,74,83,0,66,0,12
6.43,0,45,16,41,3,3,1,70,120,0,66,0,9
5.92,2,51,40,84,5,3,8,86,105,1,70,0,10
4.91,0,70,35,42,5,1,1,32,47,5,66,0,10
7.38,0,89,100,60,4,0,6,149,57,0,62,1,11
8.95,0,83,65,56,5,0,1,307,61,2,55,1,10
9.66,1,70,39,54,5,1,2,455,54,1,62,0,7
5.47,1,90,59,60,1,1,5,136,28,3,89,1,6
6.57,0,97,58,69,1,0,7,507,123,0,43,1,11
5.53,1,63,34,70,4,0,0,41,212,0,61,0,9
8.29,0,50,82,34,3,3,1,275,252,0,23,0,6
8.35,3,63,65,64,2,0,1,3,30,1,55,1,6
4.95,5,19,53,62,3,0,4,158,74,0,65,0,6
4.9,0,48,52,57,5,0,2,47,154,2,67,1,6
5.53,0,46,68,32,5,1,1,323,46,2,60,1,7
9.37,0,70,30,70,3,0,0,333,55,1,78,1,5
8.96,3,36,64,55,3,0,0,75,113,0,52,1,1
7.85,0,55,100,83,1,1,5,78,145,0,75,1,6
4.87,0,76,62,47,2,1,7,92,12,0,78,0,8
6.0,4,57,37,66,9,0,1,62,85,0,89,1,4
6.48,0,72,82,72,5,1,3,232,109,0,78,1,11
9.43,0,67,84,82,0,1,9,197,11,0,77,1,4
7.44,0,63,60,37,0,0,9,107,20,0,95,1,5
9.02,0,67,51,51,3,0,0,85,41,0,76,0,10
6.13,1,81,57,53,0,1,5,42,35,1,59,0,11
6.74,3,44,69,10,7,0,7,273,135,1,67,1,10
8.71,0,50,65,83,7,0,0,120,74,1,54,1,8
8.59,2,54,62,67,4,0,4,194,7,0,63,0,9
9.22,2,59,78,35,5,0,3,47,142,0,43,0,12
9.3,0,78,41,59,2,1,1,313,134,0,59,0,7
9.54,0,67,30,82,3,0,3,308,38,0,64,1,6
6.99,3,89,59,74,1,0,8,63,21,0,84,0,11
9.48,0,64,61,83,8,0,4,131,56,0,53,1,8
8.2,0,59,54,71,5,0,3,56,9,4,45,0,6
7.92,1,65,38,75,9,1,1,56,122,0,93,0,7
8.09,0,68,60,59,3,2,1,55,41,0,36,0,9
5.26,1,78,62,24,1,0,8,65,89,0,61,0,12
7.23,2,71,77,41,2,0,3,59,81,0,63,1,1
8.83,3,55,40,60,0,0,2,25,93,0,87,0,9
8.26,2,41,76,44,0,2,6,65,163,0,73,1,12
5.9,2,63,15,49,6,1,1,170,188,1,78,1,5
7.94,2,30,88,87,9,1,1,376,115,0,58,1,11
7.6,0,64,65,63,4,0,0,66,101,1,51,1,2
9.39,3,52,100,67,3,1,0,119,46,0,48,0,10
9.48,0,57,34,80,0,3,5,227,142,0,83,1,7
7.43,2,68,63,50,2,0,1,131,256,0,76,0,11
4.84,1,50,35,59,2,1,1,207,43,1,58,1,10
8.67,0,75,96,67,1,0,0,286,6,0,93,1,1
9.81,1,53,45,40,4,1,8,262,73,1,22,1,1
9.73,2,70,67,50,0,1,1,126,79,3,68,0,10
4.58,0,71,73,52,8,2,5,291,122,5,58,1,9
4.74,2,47,36,55,11,0,8,130,208,3,93,1,6
9.94,0,69,17,74,2,0,0,62,5,2,77,1,12
5.87,0,59,48,52,7,0,2,5,103,2,56,1,6
6.7,1,84,61,30,6,0,9,285,117,0,79,1,4
9.96,1,84,59,75,6,0,7,235,87,0,40,1,9
7.57,3,33,59,60,2,0,8,128,134,4,47,1,10
7.75,1,74,57,85,3,2,5,277,185,1,86,1,2
6.75,2,44,69,82,12,2,0,92,83,3,69,1,1
5.02,5,65,71,51,7,0,4,179,108,0,83,0,9
8.5,3,47,90,45,6,2,0,353,28,0,19,1,3
7.41,2,40,89,78,2,0,2,238,110,2,36,1,6
8.6,3,62,59,57,5,0,3,17,106,1,63,0,10
8.23,4,67,16,55,5,2,0,201,44,2,51,0,6
4.52,0,71,68,69,10,1,0,176,92,3,36,1,9
8.19,4,51,35,69,7,0,5,17,87,0,49,0,9
9.08,0,100,67,63,4,1,10,225,30,0,41,1,6
6.45,1,70,51,82,8,0,1,269,129,0,91,1,10
6.93,0,76,52,16,2,1,2,309,111,1,42,1,9
8.02,0,70,69,68,8,0,2,225,49,0,86,1,1
9.54,0,58,23,27,3,2,4,224,6,0,87,1,8
5.17,0,69,55,79,4,0,3,60,54,1,60,0,11
8.42,0,67,42,55,4,0,9,257,45,0,50,1,9
4.84,0,82,62,85,1,0,2,148,108,1,78,1,11
5.97,3,74,67,38,3,0,4,82,4,0,82,0,11
6.03,3,73,59,56,8,1,2,105,101,0,69,1,5
8.03,1,59,56,70,1,0,5,210,177,0,68,1,7
5.81,2,47,57,69,5,2,2,303,96,2,87,1,8
8.91,1,70,68,53,8,0,2,329,72,3,67,0,12
5.98,4,27,46,56,0,0,4,128,56,0,48,0,9
8.09,0,53,78,77,2,0,2,6,64,1,15,1,9
9.26,1,96,57,91,1,0,2,147,3,1,65,1,9
5.09,0,64,61,100,7,0,2,144,20,5,39,1,9
5.62,0,64,90,28,4,3,8,294,52,3,60,1,12
6.69,2,79,76,53,6,1,0,79,34,2,47,1,12
6.59,0,81,69,54,12,1,1,73,162,0,64,1,6
6.87,0,53,47,74,3,0,4,308,76,0,100,1,1
5.3,0,75,76,84,4,0,0,121,155,0,79,0,10
6.71,0,77,67,80,7,0,4,137,22,2,84,1,2
4.67,0,76,35,88,3,3,4,189,35,0,72,1,1
5.76,0,27,100,49,3,0,1,46,76,0,100,0,11
8.63,1,49,73,62,1,0,7,518,82,0,73,1,6
8.01,0,59,59,72,5,0,4,458,107,0,75,1,5
5.77,2,85,65,54,4,0,4,73,15,1,100,1,5
5.07,0,75,29,44,3,0,4,136,77,0,53,0,6
5.96,0,39,51,62,6,0,1,5,138,1,60,1,11
7.16,2,78,88,56,5,1,2,32,86,2,76,1,9
4.78,1,73,100,92,2,0,1,324,34,3,76,1,9
6.8,0,65,68,69,5,0,10,212,2,1,66,1,1
6.19,0,65,72,57,3,0,8,306,185,1,57,0,6
8.06,1,83,38,62,5,0,0,134,75,0,55,0,11
9.64,1,82,71,70,4,3,1,347,115,0,33,1,10
9.1,5,62,69,55,1,3,2,223,29,1,45,1,9
6.89,0,73,56,33,5,1,0,157,167,1,95,1,2
6.21,4,67,67,77,12,0,2,172,55,0,89,1,11
9.68,1,85,66,89,7,0,10,49,28,1,58,0,10
7.46,0,61,45,59,5,0,2,57,240,1,72,1,5
9.35,0,78,68,97,7,0,5,31,147,0,93,1,10
7.02,0,52,85,61,5,0,0,128,63,1,56,1,3
9.51,1,100,77,75,3,1,4,185,89,3,33,0,11
5.54,0,84,31,60,0,0,6,27,12,1,96,1,6
7.45,1,74,62,90,3,0,1,129,117,2,34,1,5
7.44,1,66,57,27,2,0,1,127,24,0,91,0,12
8.44,1,63,64,56,0,0,7,100,213,1,81,0,6
8.14,0,54,54,68,2,1,5,156,79,5,59,1,10
7.24,0,82,47,100,0,3,3,53,50,0,66,1,4
7.88,0,68,80,73,2,0,1,157,113,1,65,0,9
8.1,0,69,68,63,3,0,0,189,79,0,46,0,10
6.97,1,100,57,76,6,1,4,74,12,0,68,1,7
4.6,4,53,81,64,7,0,1,107,175,0,57,1,7
8.3,0,100,10,50,5,0,6,298,149,0,39,1,8
7.91,5,59,36,100,3,1,8,13,102,0,61,0,8
5.66,3,26,20,80,3,2,8,174,1,2,83,0,6
9.7,0,54,62,33,6,0,2,102,33,0,54,0,10
7.19,1,93,69,69,4,3,10,171,4,1,52,1,5
6.39,2,46,39,32,8,1,1,260,43,1,74,1,2
9.67,1,51,73,46,5,0,5,270,42,0,69,1,2
9.52,1,85,62,98,3,0,5,315,60,1,49,0,7
7.36,0,36,74,41,2,0,1,300,22,5,69,1,12
5.27,4,73,45,27,6,0,4,57,84,0,77,1,12
6.3,0,70,27,61,0,3,6,97,56,1,72,0,7
5.34,0,59,67,59,12,3,3,18,107,0,62,1,1
5.72,1,56,80,69,7,1,0,109,171,0,50,1,6
9.16,2,66,11,62,0,0,6,31,82,0,45,1,12
8.2,1,33,32,61,6,0,2,275,51,2,33,1,5
5.2,1,68,63,65,3,2,0,80,40,4,80,1,7
7.44,0,32,86,64,4,0,2,63,26,0,54,1,2
7.72,0,51,59,43,2,0,1,90,140,3,65,1,9
5.47,1,68,77,93,2,1,1,10,173,0,76,1,1
6.1,0,62,55,52,11,1,2,321,109,4,37,1,8
5.25,2,51,70,54,2,0,0,84,139,3,72,1,11
9.9,0,53,32,76,1,1,2,160,12,0,54,1,7
5.3,2,41,62,65,2,3,3,190,159,0,81,1,9
6.92,0,90,95,49,3,0,3,124,125,0,68,1,1
8.17,0,80,43,31,1,3,1,26,253,0,60,1,8
6.37,0,47,47,59,3,0,8,199,43,0,68,0,6
9.21,4,70,14,61,0,1,6,107,83,4,65,0,7
7.59,4,52,52,60,0,1,4,137,144,0,72,0,10
7.1,4,72,69,48,4,1,0,81,140,1,58,0,12
5.13,2,51,51,67,0,2,0,30,33,0,38,1,6
7.2,0,77,20,55,4,1,4,472,67,0,39,0,7
6.96,4,86,87,45,3,1,9,153,47,0,33,0,6
9.55,2,70,39,66,1,1,0,179,89,0,39,1,4
5.01,0,65,40,33,2,0,4,255,87,0,39,1,1
7.63,0,50,29,71,3,1,7,257,166,0,48,1,10
9.31,3,100,63,34,1,0,7,131,207,0,81,0,12
9.36,3,100,54,55,3,0,0,26,67,0,60,1,10
7.29,1,93,66,53,6,0,3,6,63,0,81,0,12
7.8,0,89,57,41,4,0,5,234,147,0,67,1,7
7.42,4,75,60,26,2,1,1,189,12,1,66,0,12
4.62,0,51,75,58,8,1,4,157,66,0,44,1,3
5.62,0,80,71,64,4,0,7,95,217,1,56,0,10
7.97,0,72,72,57,8,0,1,125,80,0,48,0,9
9.74,1,68,64,43,5,1,2,31,13,0,60,1,6
8.54,0,36,64,63,4,1,1,15,43,1,97,1,9
9.46,1,63,78,79,5,0,6,176,101,0,29,1,7
9.29,0,54,76,50,11,0,0,130,228,0,67,1,1
6.39,5,81,73,61,4,0,0,119,129,0,42,1,3
8.02,1,44,80,33,5,0,0,115,102,0,32,1,6
4.61,3,100,66,79,4,1,6,11,36,1,55,0,10
5.26,0,78,78,100,9,1,2,92,51,5,84,1,8
8.63,0,80,47,23,8,1,2,257,130,0,41,0,8
8.13,1,49,32,91,9,0,1,12,185,0,37,1,2
9.34,1,50,12,58,6,1,5,79,69,0,78,1,11
4.51,0,83,76,57,3,1,1,260,151,0,100,1,4
7.78,1,64,59,81,4,0,1,124,165,4,100,1,1
9.98,0,27,43,59,8,1,3,179,131,1,76,1,12
6.06,0,39,46,33,6,0,7,131,120,0,79,0,10
8.39,2,63,54,33,5,1,7,48,9,1,55,1,9
8.9,0,70,65,31,8,2,2,206,187,0,83,1,8
9.74,0,83,47,77,2,3,2,56,12,3,63,1,8
9.3,1,64,57,88,9,0,2,424,211,2,57,1,5
7.78,2,72,64,51,3,0,8,103,84,4,74,1,5
8.38,0,91,46,79,12,1,2,143,79,0,81,1,10
7.29,0,70,78,72,10,0,0,44,135,1,55,1,12
6.5,0,63,26,74,9,1,2,117,72,0,42,1,10
8.45,1,66,57,62,1,0,3,21,23,2,37,1,9
9.61,3,51,54,99,1,0,3,150,236,1,45,1,2
5.2,2,30,38,50,3,1,0,143,108,2,61,1,10
7.66,0,58,65,68,3,1,0,18,81,0,59,0,11
8.59,1,37,33,31,0,1,3,82,49,4,70,1,10
